iter	Passed	Remaining
399	79101	676123
400	79308	676000
401	79514	675876
402	79719	675739
403	79925	675608
404	80129	675459
405	80333	675318
406	80540	675192
407	80745	675059
408	80953	674940
409	81161	674824
410	81367	674695
411	81573	674563
412	81776	674407
413	81980	674262
414	82185	674116
415	82392	673994
416	82597	673852
417	82801	673701
418	83006	673561
419	83212	673423
420	83418	673290
421	83623	673151
422	83827	672999
423	84032	672850
424	84236	672705
425	84447	672604
426	84650	672447
427	84862	672353
428	85065	672195
429	85269	672039
430	85479	671932
431	85684	671794
432	85889	671641
433	86094	671494
434	86299	671348
435	86503	671192
436	86706	671030
437	86910	670880
438	87117	670745
439	87322	670596
440	87529	670467
441	87735	670326
442	87942	670189
443	88148	670045
444	88354	669908
445	88559	669755
446	88762	669587
447	88970	669463
448	89175	669313
449	89379	669155
450	89586	669021
451	89793	668883
452	89998	668729
453	90204	668585
454	90411	668451
455	90617	668300
456	90822	668149
457	91028	668004
458	91232	667843
459	91437	667695
460	91643	667547
461	91852	667423
462	92060	667292
463	92266	667144
464	92472	666992
465	92679	666857
466	92889	666734
467	93106	666665
468	93314	666529
469	93520	666385
470	93728	666247
471	93935	666104
472	94140	665950
473	94349	665818
474	94555	665671
475	94761	665522
476	94977	665436
477	95190	665338
478	95396	665188
479	95607	665068
480	95814	664926
481	96020	664770
482	96228	664637
483	96434	664478
484	96646	664366
485	96857	664249
486	97071	664150
487	97297	664135
488	97507	664008
489	97713	663850
490	97926	663743
491	98135	663608
492	98346	663490
493	98549	663315
494	98759	663181
495	98973	663079
496	99182	662949
497	99388	662790
498	99592	662622
499	99801	662480
500	100007	662325
501	100216	662189
502	100419	662008
503	100625	661850
504	100834	661716
505	101044	661582
506	101255	661454
507	101461	661300
508	101668	661145
509	101875	660989
510	102080	660826
511	102285	660661
512	102489	660485
513	102699	660351
514	102905	660195
515	103113	660046
516	103319	659883
517	103525	659724
518	103731	659565
519	103938	659407
520	104144	659249
521	104352	659099
522	104559	658947
523	104768	658800
524	104972	658629
525	105180	658476
526	105387	658324
527	105598	658188
528	105808	658054
529	106020	657928
530	106243	657868
531	106470	657837
532	106680	657696
533	106883	657513
534	107088	657343
535	107291	657159
536	107494	656980
537	107698	656800
538	107904	656633
539	108108	656461
540	108312	656278
541	108513	656087
542	108718	655916
543	108921	655731
544	109129	655576
545	109332	655395
546	109535	655212
547	109737	655020
548	109942	654850
549	110145	654662
550	110351	654496
551	110553	654305
552	110757	654128
553	110964	653967
554	111171	653806
555	111380	653660
556	111590	653513
557	111799	653365
558	112006	653203
559	112214	653050
560	112423	652895
561	112633	652755
562	112841	652595
563	113047	652427
564	113254	652268
565	113464	652119
566	113670	651950
567	113874	651773
568	114080	651604
569	114288	651444
570	114495	651283
571	114703	651122
572	114911	650961
573	115116	650788
574	115322	650618
575	115527	650442
576	115734	650279
577	115941	650112
578	116147	649945
579	116356	649789
580	116561	649612
581	116766	649441
582	116976	649288
583	117186	649138
584	117396	648992
585	117604	648832
586	117823	648731
587	118055	648702
588	118261	648528
589	118467	648356
590	118675	648197
591	118886	648050
592	119090	647869
593	119302	647726
594	119512	647579
595	119720	647414
596	119925	647238
597	120126	647038
598	120335	646880
599	120545	646725
600	120753	646565
601	120960	646396
602	121179	646290
603	121396	646176
604	121614	646062
605	121821	645893
606	122026	645712
607	122232	645541
608	122442	645387
609	122648	645209
610	122858	645059
611	123071	644919
612	123289	644805
613	123505	644680
614	123707	644487
615	123912	644305
616	124118	644129
617	124328	643971
618	124530	643777
619	124735	643596
620	124945	643440
621	125149	643253
622	125351	643056
623	125553	642856
624	125755	642663
625	125958	642469
626	126162	642280
627	126367	642099
628	126571	641913
629	126776	641728
630	126977	641530
631	127181	641342
632	127383	641145
633	127584	640940
634	127786	640745
635	127991	640559
636	128196	640381
637	128405	640214
638	128608	640024
639	128814	639846
640	129022	639678
641	129230	639510
642	129438	639342
643	129645	639166
644	129850	638986
645	130055	638800
646	130262	638630
647	130471	638466
648	130681	638307
649	130890	638143
650	131097	637967
651	131306	637801
652	131513	637627
653	131717	637438
654	131925	637271
655	132130	637087
656	132341	636929
657	132546	636748
658	132755	636580
659	132963	636409
660	133169	636232
661	133375	636051
662	133582	635875
663	133788	635696
664	133993	635510
665	134199	635330
666	134405	635149
667	134613	634979
668	134819	634802
669	135027	634629
670	135232	634444
671	135440	634270
672	135647	634097
673	135853	633918
674	136060	633741
675	136267	633563
676	136473	633382
677	136681	633208
678	136889	633038
679	137098	632870
680	137306	632697
681	137512	632515
682	137721	632347
683	137928	632171
684	138137	632006
685	138345	631832
686	138550	631646
687	138756	631460
688	138961	631277
689	139167	631094
690	139374	630916
691	139581	630738
692	139787	630554
693	139992	630371
694	140199	630191
695	140406	630015
696	140613	629836
697	140820	629658
698	141026	629476
699	141233	629295
700	141444	629134
701	141652	628959
702	141858	628779
703	142068	628613
704	142275	628435
705	142482	628256
706	142691	628085
707	142903	627926
708	143113	627760
709	143322	627590
710	143526	627400
711	143733	627219
712	143941	627042
713	144147	626858
714	144356	626689
715	144566	626522
716	144774	626347
717	144983	626173
718	145190	625993
719	145398	625819
720	145606	625641
721	145813	625462
722	146019	625276
723	146225	625095
724	146435	624926
725	146641	624742
726	146846	624553
727	147054	624374
728	147265	624210
729	147469	624018
730	147679	623850
731	147884	623658
732	148093	623489
733	148299	623303
734	148506	623121
735	148729	623008
736	148961	622929
737	149194	622855
738	149428	622785
739	149661	622712
740	149894	622636
741	150127	622562
742	150362	622496
743	150590	622401
744	150802	622238
745	151028	622133
746	151261	622055
747	151492	621969
748	151724	621888
749	151954	621798
750	152178	621681
751	152402	621565
752	152627	621453
753	152847	621321
754	153071	621205
755	153293	621081
756	153511	620942
757	153734	620820
758	153955	620690
759	154175	620555
760	154400	620443
761	154640	620387
762	154861	620256
763	155076	620101
764	155289	619939
765	155494	619746
766	155698	619544
767	155906	619364
768	156117	619192
769	156330	619029
770	156543	618865
771	156752	618685
772	156967	618527
773	157180	618364
774	157388	618182
775	157597	618001
776	157805	617819
777	158013	617634
778	158221	617448
779	158427	617258
780	158635	617071
781	158843	616887
782	159050	616700
783	159259	616521
784	159465	616330
785	159672	616140
786	159880	615956
787	160087	615769
788	160296	615585
789	160502	615394
790	160710	615208
791	160917	615022
792	161125	614837
793	161334	614654
794	161540	614463
795	161749	614283
796	161952	614079
797	162153	613867
798	162356	613663
799	162558	613456
800	162760	613246
801	162964	613047
802	163168	612846
803	163371	612643
804	163572	612431
805	163774	612222
806	163976	612015
807	164176	611801
808	164382	611608
809	164589	611417
810	164791	611211
811	164995	611011
812	165199	610811
813	165408	610627
814	165609	610418
815	165811	610211
816	166018	610022
817	166233	609861
818	166456	609730
819	166664	609545
820	166877	609375
821	167104	609259
822	167317	609094
823	167540	608959
824	167766	608840
825	167987	608701
826	168199	608528
827	168409	608350
828	168622	608180
829	168831	607997
830	169044	607828
831	169254	607647
832	169464	607468
833	169675	607292
834	169880	607092
835	170092	606922
836	170302	606741
837	170506	606538
838	170711	606341
839	170935	606209
840	171140	606012
841	171354	605845
842	171583	605732
843	171791	605546
844	172020	605430
845	172231	605254
846	172436	605055
847	172655	604903
848	172869	604736
849	173077	604551
850	173304	604427
851	173522	604274
852	173726	604070
853	173929	603863
854	174136	603674
855	174365	603557
856	174570	603358
857	174783	603187
858	175004	603041
859	175222	602886
860	175434	602710
861	175656	602572
862	175862	602373
863	176066	602172
864	176271	601972
865	176476	601771
866	176680	601568
867	176884	601367
868	177090	601168
869	177294	600967
870	177499	600768
871	177704	600567
872	177910	600370
873	178116	600176
874	178324	599985
875	178531	599792
876	178736	599592
877	178941	599394
878	179149	599202
879	179354	599002
880	179558	598801
881	179765	598606
882	179971	598410
883	180176	598210
884	180380	598007
885	180585	597806
886	180789	597604
887	180993	597401
888	181202	597213
889	181409	597019
890	181613	596818
891	181819	596619
892	182023	596417
893	182230	596224
894	182437	596031
895	182645	595839
896	182851	595644
897	183058	595449
898	183265	595254
899	183470	595056
900	183677	594861
901	183881	594658
902	184086	594457
903	184291	594257
904	184495	594056
905	184700	593855
906	184906	593657
907	185112	593460
908	185319	593266
909	185532	593093
910	185743	592911
911	185949	592715
912	186155	592517
913	186383	592389
914	186602	592233
915	186809	592040
916	187033	591898
917	187241	591706
918	187467	591572
919	187680	591396
920	187896	591231
921	188100	591028
922	188329	590901
923	188558	590776
924	188768	590589
925	188976	590397
926	189182	590199
927	189392	590015
928	189605	589837
929	189811	589640
930	190036	589500
931	190260	589359
932	190473	589182
933	190679	588982
934	190890	588799
935	191106	588633
936	191309	588426
937	191517	588230
938	191729	588051
939	191939	587867
940	192151	587685
941	192355	587480
942	192565	587293
943	192770	587093
944	192971	586879
945	193181	586691
946	193384	586483
947	193587	586275
948	193794	586081
949	194002	585886
950	194213	585702
951	194418	585501
952	194639	585347
953	194847	585156
954	195057	584968
955	195271	584792
956	195478	584597
957	195687	584407
958	195893	584209
959	196103	584021
960	196311	583826
961	196520	583637
962	196734	583461
963	196941	583264
964	197147	583065
965	197348	582851
966	197556	582658
967	197765	582468
968	197972	582271
969	198180	582078
970	198389	581888
971	198601	581707
972	198818	581539
973	199030	581356
974	199238	581163
975	199451	580984
976	199667	580813
977	199878	580627
978	200084	580428
979	200290	580230
980	200498	580035
981	200707	579843
982	200919	579662
983	201133	579484
984	201341	579292
985	201544	579081
986	201748	578878
987	201956	578682
988	202166	578495
989	202374	578299
990	202581	578102
991	202788	577906
992	202997	577715
993	203205	577520
994	203410	577318
995	203617	577121
996	203825	576927
997	204032	576730
998	204240	576533
999	204446	576334
1000	204656	576145
1001	204862	575946
1002	205070	575752
1003	205280	575562
1004	205487	575365
1005	205694	575168
1006	205902	574972
1007	206107	574769
1008	206330	574617
1009	206538	574422
1010	206745	574223
1011	206948	574016
1012	207154	573816
1013	207361	573617
1014	207568	573421
1015	207780	573237
